service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
292301,20260608,20260906,0,0,0,0,0,0,0
162503_merged_15524963,20260420,20260607,0,0,0,0,0,0,0
1_merged_15524958,20260420,20260607,1,1,1,1,1,0,0
152201_merged_15524984,20260608,20260906,0,0,0,0,0,0,0
1201_merged_15524951,20260420,20260607,0,0,0,0,0,0,0
292802,20260608,20260906,0,0,0,0,0,0,0
162601_merged_15524975,20260608,20260906,0,0,0,0,0,0,0
-999_merged_15524961,20260420,20260607,1,1,1,1,1,1,1
1201_merged_15524973,20260608,20260906,0,0,0,0,0,0,0
801_merged_15524970,20260420,20260607,0,0,0,0,0,0,0
169801_merged_15524967,20260420,20260607,0,0,0,0,0,0,0
291301,20260608,20260906,0,0,0,0,0,0,0
291901,20260608,20260906,0,0,0,0,0,0,0
1101_merged_15524969,20260420,20260607,0,0,0,0,0,0,0
3_merged_15524959,20260420,20260607,0,0,0,0,0,0,1
291303,20260608,20260906,0,0,0,0,0,0,0
162503_merged_15524985,20260608,20260906,0,0,0,0,0,0,0
701_merged_15524952,20260420,20260607,0,0,0,0,0,0,0
801_merged_15524992,20260608,20260906,0,0,0,0,0,0,0
62101_merged_15524956,20260420,20260607,0,0,0,0,0,0,0
169801_merged_15524989,20260608,20260906,0,0,0,0,0,0,0
62101_merged_15524978,20260608,20260906,0,0,0,0,0,0,0
162601_merged_15524953,20260420,20260607,0,0,0,0,0,0,0
291503,20260608,20260906,0,0,0,0,0,0,0
4901,20260420,20260607,0,0,0,0,0,0,0
4903,20260420,20260607,0,0,0,0,0,0,0
4902,20260420,20260607,0,0,0,0,0,0,0
292303,20260608,20260906,0,0,0,0,0,0,0
152201_merged_15524962,20260420,20260607,0,0,0,0,0,0,0
92402,20260608,20260906,0,0,0,0,0,0,0
101_merged_15524987,20260608,20260906,0,0,0,0,0,0,0
1101_merged_15524991,20260608,20260906,0,0,0,0,0,0,0
152301_merged_15524986,20260608,20260906,0,0,0,0,0,0,0
292402,20260608,20260906,0,0,0,0,0,0,0
401,20260608,20260906,0,0,0,0,0,0,0
3_merged_15524981,20260608,20260906,0,0,0,0,0,0,1
291802,20260608,20260906,0,0,0,0,0,0,0
152301_merged_15524964,20260420,20260607,0,0,0,0,0,0,0
-999_merged_15524983,20260608,20260906,1,1,1,1,1,1,1
2001_merged_15524990,20260608,20260906,0,0,0,0,0,0,0
291101,20260608,20260906,0,0,0,0,0,0,0
201,20260608,20260906,0,0,0,0,0,0,0
155601_merged_15524993,20260608,20260906,0,0,0,0,0,0,0
253403_merged_15524957,20260420,20260607,0,0,0,0,0,0,0
49601,20260608,20260906,0,0,0,0,0,0,0
49602,20260608,20260906,0,0,0,0,0,0,0
49603,20260608,20260906,0,0,0,0,0,0,0
291103,20260608,20260906,0,0,0,0,0,0,0
2_merged_15524982,20260608,20260906,0,0,0,0,0,1,0
32603_merged_15524950,20260420,20260607,0,0,0,0,0,0,0
291801,20260608,20260906,0,0,0,0,0,0,0
292502,20260608,20260906,0,0,0,0,0,0,0
259803,20260608,20260906,0,0,0,0,0,0,0
292501,20260608,20260906,0,0,0,0,0,0,0
101_merged_15524965,20260420,20260607,0,0,0,0,0,0,0
92403,20260608,20260906,0,0,0,0,0,0,0
32603_merged_15524972,20260608,20260906,0,0,0,0,0,0,0
1901_merged_15524955,20260420,20260607,0,0,0,0,0,0,0
118401,20260608,20260906,0,0,0,0,0,0,0
259801,20260608,20260906,0,0,0,0,0,0,0
291701,20260608,20260906,0,0,0,0,0,0,0
292302,20260608,20260906,0,0,0,0,0,0,0
291703,20260608,20260906,0,0,0,0,0,0,0
291702,20260608,20260906,0,0,0,0,0,0,0
1803_merged_15524988,20260608,20260906,0,0,0,0,0,0,0
2_merged_15524960,20260420,20260607,0,0,0,0,0,1,0
292202,20260608,20260906,0,0,0,0,0,0,0
291403,20260608,20260906,0,0,0,0,0,0,0
291102,20260608,20260906,0,0,0,0,0,0,0
291401,20260608,20260906,0,0,0,0,0,0,0
1_merged_15524980,20260608,20260906,1,1,1,1,1,0,0
155601_merged_15524971,20260420,20260607,0,0,0,0,0,0,0
259802,20260608,20260906,0,0,0,0,0,0,0
292003,20260608,20260906,0,0,0,0,0,0,0
62201_merged_15524954,20260420,20260607,0,0,0,0,0,0,0
292001,20260608,20260906,0,0,0,0,0,0,0
253403_merged_15524979,20260608,20260906,0,0,0,0,0,0,0
62201_merged_15524976,20260608,20260906,0,0,0,0,0,0,0
292101,20260608,20260906,0,0,0,0,0,0,0
2001_merged_15524968,20260420,20260607,0,0,0,0,0,0,0
701_merged_15524974,20260608,20260906,0,0,0,0,0,0,0
291603,20260608,20260906,0,0,0,0,0,0,0
1803_merged_15524966,20260420,20260607,0,0,0,0,0,0,0
1901_merged_15524977,20260608,20260906,0,0,0,0,0,0,0
